time,bathroom_gfi
2011-04-20 20:43:25,1634.0
2011-04-20 20:43:28,1600.0
2011-04-20 20:43:32,1595.0
2011-04-20 20:43:35,1595.0
2011-04-20 20:43:39,1595.0
2011-04-20 20:43:42,1594.0
2011-04-20 20:43:46,1594.0
2011-04-20 20:43:50,1594.0
2011-04-20 20:43:53,1595.0
2011-04-20 20:43:57,1594.0
2011-04-20 20:44:01,1595.0
2011-04-20 20:44:04,1595.0
2011-04-20 20:44:08,1594.0
2011-04-20 20:44:12,1594.0
2011-04-20 20:44:21,1594.0
2011-04-20 20:44:24,1595.0
2011-04-20 20:44:28,1595.0
2011-04-20 20:44:31,1596.0
2011-04-20 20:44:35,1597.0
2011-04-20 20:44:39,1597.0
2011-04-20 20:44:43,1595.0
2011-04-20 20:44:46,1596.0
2011-04-20 20:44:50,1598.0
2011-04-20 20:44:54,1596.0
2011-04-20 20:44:58,1585.0
2011-04-20 20:45:01,1594.0
2011-04-20 20:45:05,1594.0
2011-04-20 20:45:09,1592.0
2011-04-20 20:45:12,1590.0
2011-04-20 20:45:22,1592.0
2011-04-20 20:45:25,1593.0
2011-04-20 20:45:29,1592.0
2011-04-20 20:45:32,1593.0
2011-04-20 20:45:36,1594.0
2011-04-20 20:45:40,1593.0
2011-04-20 20:45:43,1594.0
2011-04-20 20:45:47,1594.0
2011-04-20 20:45:51,1594.0
2011-04-20 20:45:54,1593.0
2011-04-20 20:45:58,1594.0
2011-04-20 20:46:02,1594.0
2011-04-20 20:46:06,1595.0
2011-04-20 20:46:09,1594.0
2011-04-20 20:46:13,1594.0
2011-04-20 20:46:22,1596.0
2011-04-20 20:46:26,1596.0
2011-04-20 20:46:29,1595.0
2011-04-20 20:46:33,1596.0
2011-04-20 20:46:37,1596.0
2011-04-20 20:46:41,1595.0
2011-04-20 20:46:44,1595.0
2011-04-20 20:46:48,1597.0
2011-04-20 20:46:52,1595.0
2011-04-20 20:46:55,1596.0
2011-04-20 20:46:59,1597.0
2011-04-20 20:47:03,1597.0
2011-04-20 20:47:07,1597.0
2011-04-20 20:47:10,1597.0
2011-04-20 20:47:19,1596.0
2011-04-20 20:47:23,1596.0
2011-04-20 20:47:26,1597.0
2011-04-20 20:47:30,1597.0
2011-04-20 20:47:33,1597.0
2011-04-20 20:47:37,1595.0
2011-04-20 20:47:41,1595.0
2011-04-20 20:47:45,1595.0